Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15, C16, C18, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C49, C7",603,28,100n,C14663
"C10, C2, C8, C9",603,4,10u,C96446
"C11, C14",603,2,27p,C107045
"C12, C13, C3, C4, C5, C6",CP_Elec_6.3x7.7,6,220u,C340768
"C17, C19",603,2,1u,C15849
C42,603,1,4.7u,C19666
"C43, C44",603,2,18p,C1647
C45,603,1,1nF/2kV,C696365
"C46, C47",603,2,6.8n,C1631
C48,603,1,22n,C21122
"D1, D2, D9",D_SOD-123,3,1N5819WS,C8598
"D10, D12, D13, D14",603,4,LED,C2286
"D3, D4, D5, D6, D7, D8",D_SOD-123,6,1N4148W,C81598
FB1,603,1,FerriteBead,C1002
J9,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0,C709357
"L1, L2, L3",L_12x12mm_H8mm,3,150uH,C339958
R1,603,1,1M,C22935
"R10, R8, R9",603,3,100,C22775
"R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22",1206,12,10R,C17903
"R2, R28, R50, R63",603,4,470,C23179
"R23, R26, R47, R48",603,4,1k,C21190
"R24, R3, R4",603,3,1.2k,C22765
"R25, R29",603,2,27,C25190
R27,603,1,560,C23204
"R30, R31",603,2,5.1k,C23186
"R32, R38",603,2,3.6k,C22980
"R33, R39",603,2,3.3k,C22978
"R34, R40",603,2,9.1k,C23260
"R35, R41",603,2,20k,C4184
"R36, R37, R42, R43",603,4,10k,C25804
"R49, R61, R62",603,3,4.7k,C23162
"R5, R6, R7",603,3,33k,C4216
R51,603,1,10,C22859
"R52, R53, R54, R55",603,4,3.3,C22979
"R56, R57, R58, R59",603,4,49.9,C23185
R60,603,1,12.4k,C22865
"SW1, SW2",SW_SPST_TL3342,2,SW_Push,C318884
"U1, U4, U5",TO-263-5_TabPin3,3,LM2576S-ADJ,C347415
U10,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U11,LQFP-48_7x7mm_P0.5mm,1,W5500,C32843
"U12, U2",SOIC-14_3.9x8.7mm_P1.27mm,2,LM324,C71035
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U6,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U8,SOIC-14_3.9x8.7mm_P1.27mm,1,MCP4922-ESL,C39851
U9,SOIC-14_3.9x8.7mm_P1.27mm,1,74LS125,C155176
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,25MHz,C9006
